id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
207,209,2023-10-05 18:34,은행,식비,,종합손물세트 조각파운드케이크,3500,지출,
208,209,2023-10-05 18:34,은행,패션/미용,,종합손물세트 지갑,28000,지출,
209,,2023-10-05 18:34,일정,약속,,자두랑 종손,46174,,
210,,2023-10-04 18:33,은행,기타,,학교알바,110630,수입,
211,,2023-10-01 18:33,은행,용돈,,,300000,수입,
212,213,2023-09-28 18:33,은행,문화생활,,이수역 만카-자두,5500,지출,
213,,2023-09-28 18:33,일정,약속,,만카데이트,5500,,
214,216,2023-09-26 18:30,은행,경조사/회비,,쿠스 생일케이크,6000,지출,
215,216,2023-09-26 18:30,은행,식비,,쿠스 생파,38900,지출,
216,,2023-09-26 18:30,일정,약속,,예원 생파,44900,,
217,,2023-09-24 14:14,은행,문화생활,,디플 한 달,2500,지출,
218,,2023-09-23 14:12,은행,식비,,야가다모임- 영수오구비차호빵몽실지니,23420,지출,
219,220,2023-09-22 14:12,은행,식비,,나연집,21400,지출,
220,,2023-09-22 14:12,일정,약속,,나연이,41400,,
221,220,2023-09-21 14:11,은행,경조사/회비,,나연생일선물,20000,지출,
222,,2023-09-20 14:10,은행,문화생활,,안녕에리,6000,지출,
223,225,2023-09-20 14:10,은행,식비,,빕스-피로하암,31934,지출,
224,,2023-09-20 14:09,은행,기타,,먼동제,10200,지출,5500+4700
225,,2023-09-20 14:09,일정,약속,,빕스라는거얌,31934,,
226,,2023-09-19 14:09,은행,문화생활,,플로결제,790,지출,
227,229,2023-09-15 14:07,은행,식비,,오코노미야끼안테이쿠-나연,31500,지출,
228,,2023-09-15 14:07,은행,식비,,졸프 간식,3500,지출,
229,,2023-09-15 14:07,일정,약속,,나연이,31500,,
230,,2023-09-12 16:22,은행,식비,,파운더리- 집,10700,지출,
231,,2023-09-12 16:22,은행,식비,,원즈오운-집,9500,지출,
232,,2023-09-11 16:22,은행,문화생활,,넷플,4250,지출,
233,,2023-09-08 16:20,은행,문화생활,,재부팅통판,16000,지출,
234,236,2023-09-07 16:17,은행,식비,,안테이쿠빙수인생네컷- 자두재철영수,32625,지출,
235,,2023-09-07 16:17,은행,식비,,찜닭- 학관에서...,8710,지출,
236,,2023-09-07 16:17,일정,약속,,안테이쿠,32625,,
237,,2023-09-05 16:16,은행,기타,,해비타트,10000,지출,
